Consulta,Iteración,Tiempo,Manager,Worker1,Worker2
4,456,725.786,0.00814710600182005,0.0225499707135683,0.0231250008403651
4,458,720.071,0.0167885498248848,0.0223724072408256,0.032499819798237
4,466,725.8,0.0169221222114228,0.0283285179436976,0.0293330771362837
4,539,722.583,0.00494307990616373,0.0194070434796719,0.03087417235833
4,562,724.273,0.00517006892414202,0.022804369143875,0.0229287131212972
4,606,729.734,0.00257583788969853,0.0237794801885946,0.0260648244258876
4,682,720.243,0.00240170475658778,0.0250278222000454,0.0256118162985875
4,699,728.962,0.00243789130763385,0.0282870894493512,0.0276514276831239
4,726,727.772,0.00157504348461807,0.0253867047597284,0.0281461228103884
4,729,722.652,0.00156396278538639,0.0263584403908688,0.0259628350045983
4,756,725.53,0.00114163600860608,0.0195610452598815,0.0257575883161161
4,773,721.977,0.0031876227933142,0.0231482718941575,0.0273102345753463
4,790,722.838,0.00512920356553497,0.021174051545826,0.0212493680427545
4,803,724.087,0.00354103210477009,0.028261967597098,0.0267950279300328
4,856,722.603,0.0014635549972769,0.0245891449108147,0.0262987645124453
4,860,720.145,0.00250313514008049,0.0249531094082574,0.0258846502588029
4,881,725.301,0.00256376652145915,0.0269032452011031,0.0256673524525217
4,887,721.314,0.00254967342477094,0.02396747896785,0.0314360786159928
5,13,3359.628,0.019962681530088063,0.2888867164519183,0.376754462389433
5,52,3302.333,0.04582020043572314,0.2877932291293016,0.4117658504105568
5,56,3302.644,0.01845357971642554,0.39785093678044586,0.4460630835429037
5,81,3309.994,0.03185955879367175,3.737621067566882,0.3867830514395022
5,175,3357.639,0.019156552144720472,0.4278120871737848,0.427648664810162
5,193,3313.542,0.020696519494312254,0.33346244628313676,0.4279937788213927
5,198,3342.678,0.49605621429074354,0.45885107494985244,0.4364863471637114
5,231,3304.519,0.016195699807298135,0.42417591829394147,0.33188554309714563
5,257,3301.301,0.025665681240585415,1.920658699710902,2.9389635274681463
5,262,3330.124,0.021292388772341277,0.4023226611370466,0.30362274127494376
5,290,3340.509,0.02067567955519424,0.2980555068797463,0.40249913073261
5,395,3335.862,0.02351341003969531,3.8818780424063295,0.4267762506830159
5,406,3346.869,0.034074666574966946,0.2438666688698664,0.3725971193707957
5,426,3350.828,0.010851382859762164,0.34167737367123036,0.35846143945008657
5,438,3343.037,0.02280186910647251,0.37856422677732793,0.4033999889775844
5,444,3320.468,0.02321537106419448,0.46724010451225045,0.4150099846059541
5,472,3300.289,0.01100769740866467,0.42325245436776027,0.4319276639933889
5,484,3332.799,0.020336528920980042,1.9694553473639522,0.49765542772945065
5,535,3310.986,0.030000567703052556,0.3635026683526422,0.4432890870917149
5,543,3314.883,0.031289280863590264,0.38244027619069076,0.3885650144997224
5,550,3367.092,0.2509381779241685,3.039900135495351,1.4137647252031695
5,558,3317.949,0.01652255017989569,0.30753476052937384,0.38832230084620595
5,569,3377.589,0.015567139099451267,0.3626577692001392,0.36988778188473853
5,591,3302.956,0.019053823131374315,0.36922083283912255,0.3682674024172861
5,593,3313.195,0.014613063865528336,2.2811663991436424,6.22928598166561
5,597,3307.942,0.1150309801155284,0.3504889176729861,0.2403044790237998
5,604,3300.682,0.02703618341734218,0.387109136180573,0.2785213910752867
5,621,3386.202,0.004534386951616355,0.30529364224133376,1.7482284340628442
5,623,3321.039,0.01604225721516158,0.3420062776005793,0.26448948922394316
5,625,3327.753,0.008067682913656032,0.2875091629128592,0.214537713189054
6,2,555.364,0.0045507632232329,0.0929216512581761,0.092148297889893
