Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
5	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
5	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
6	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
6	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
6	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
6	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
6	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
6	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
6	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
6	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
6	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
6	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
6	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
7	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
7	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
7	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
7	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
7	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
7	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
7	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
7	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
